Date,Location,Team,Opponent,Singles,Doubles,Triples,Home Runs,Total Bases
2023-08-21,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,9,2,2,4,35
2023-08-21,Citizens Bank Park,San Francisco Giants,Philadelphia Phillies,7,0,0,2,15
2023-08-21,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,8,7,0,1,26
2023-08-21,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,2,2,0,1,10
2023-08-21,Truist Park,Atlanta Braves,New York Mets,5,2,0,2,17
2023-08-21,Truist Park,New York Mets,Atlanta Braves,11,0,0,3,23
2023-08-21,Minute Maid Park,Houston Astros,Boston Red Sox,10,3,0,3,28
2023-08-21,Minute Maid Park,Boston Red Sox,Houston Astros,8,2,0,1,16
2023-08-21,Guaranteed Rate Field,Chicago White Sox,Seattle Mariners,4,4,0,0,12
2023-08-21,Guaranteed Rate Field,Seattle Mariners,Chicago White Sox,8,3,0,4,30
2023-08-21,Oakland Coliseum,Oakland Athletics,Kansas City Royals,5,1,0,4,23
2023-08-21,Oakland Coliseum,Kansas City Royals,Oakland Athletics,3,1,1,1,12
2023-08-21,Chase Field,Arizona Diamondbacks,Texas Rangers,4,2,0,1,12
2023-08-21,Chase Field,Texas Rangers,Arizona Diamondbacks,2,2,0,1,10
2023-08-21,Petco Park,San Diego Padres,Miami Marlins,4,1,0,2,14
2023-08-21,Petco Park,Miami Marlins,San Diego Padres,4,2,0,1,12
2023-08-23,Angel Stadium,Los Angeles Angels,Cincinnati Reds,4,2,0,0,8
2023-08-23,Angel Stadium,Cincinnati Reds,Los Angeles Angels,9,0,1,2,20
2023-08-22,Comerica Park,Detroit Tigers,Chicago Cubs,4,2,1,2,19
2023-08-22,Comerica Park,Chicago Cubs,Detroit Tigers,4,2,0,2,16
2023-08-22,Tropicana Field,Tampa Bay Rays,Colorado Rockies,11,3,0,1,21
2023-08-22,Tropicana Field,Colorado Rockies,Tampa Bay Rays,5,1,1,1,14
2023-08-22,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,6,2,0,1,14
2023-08-22,Citizens Bank Park,San Francisco Giants,Philadelphia Phillies,5,3,0,0,11
2023-08-22,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,5,2,0,1,13
2023-08-22,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,5,3,0,1,15
2023-08-22,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,6,3,0,0,12
2023-08-22,Oriole Park at Camden Yards,Toronto Blue Jays,Baltimore Orioles,8,2,0,2,20
2023-08-22,Yankee Stadium,New York Yankees,Washington Nationals,1,0,0,1,5
2023-08-22,Yankee Stadium,Washington Nationals,New York Yankees,4,1,0,2,14
2023-08-22,Progressive Field,Cleveland Guardians,Los Angeles Dodgers,10,0,0,2,18
2023-08-22,Progressive Field,Los Angeles Dodgers,Cleveland Guardians,4,1,0,1,10
2023-08-22,Truist Park,Atlanta Braves,New York Mets,5,2,0,2,17
2023-08-22,Truist Park,New York Mets,Atlanta Braves,3,1,0,1,9
2023-08-22,Minute Maid Park,Houston Astros,Boston Red Sox,4,3,0,1,14
2023-08-22,Minute Maid Park,Boston Red Sox,Houston Astros,5,4,0,1,17
2023-08-22,Guaranteed Rate Field,Chicago White Sox,Seattle Mariners,9,0,0,1,13
2023-08-22,Guaranteed Rate Field,Seattle Mariners,Chicago White Sox,7,1,0,1,13
2023-08-22,American Family Field,Milwaukee Brewers,Minnesota Twins,6,1,0,1,12
2023-08-22,American Family Field,Minnesota Twins,Milwaukee Brewers,5,1,0,1,11
2023-08-22,Angel Stadium,Los Angeles Angels,Cincinnati Reds,2,1,0,3,16
2023-08-22,Angel Stadium,Cincinnati Reds,Los Angeles Angels,4,2,0,1,12
2023-08-22,Oakland Coliseum,Oakland Athletics,Kansas City Royals,5,1,0,1,11
2023-08-22,Oakland Coliseum,Kansas City Royals,Oakland Athletics,5,1,0,0,7
2023-08-22,Chase Field,Arizona Diamondbacks,Texas Rangers,8,1,0,0,10
2023-08-22,Chase Field,Texas Rangers,Arizona Diamondbacks,10,2,0,1,18
2023-08-22,Petco Park,San Diego Padres,Miami Marlins,2,1,0,0,4
2023-08-22,Petco Park,Miami Marlins,San Diego Padres,7,0,0,1,11
2023-08-23,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,4,5,0,1,18
2023-08-23,PNC Park,St. Louis Cardinals,Pittsburgh Pirates,8,2,0,0,12
2023-08-23,Comerica Park,Detroit Tigers,Chicago Cubs,4,0,0,1,8
2023-08-23,Comerica Park,Chicago Cubs,Detroit Tigers,7,2,0,0,11
2023-08-23,Guaranteed Rate Field,Chicago White Sox,Seattle Mariners,6,3,0,1,16
2023-08-23,Guaranteed Rate Field,Seattle Mariners,Chicago White Sox,8,0,0,0,8
2023-08-23,American Family Field,Milwaukee Brewers,Minnesota Twins,7,1,0,3,21
2023-08-23,American Family Field,Minnesota Twins,Milwaukee Brewers,5,2,0,3,21
2023-08-23,Oakland Coliseum,Oakland Athletics,Kansas City Royals,2,0,0,0,2
2023-08-23,Oakland Coliseum,Kansas City Royals,Oakland Athletics,2,0,1,2,13
2023-08-23,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,6,1,0,3,20
2023-08-23,Citizens Bank Park,San Francisco Giants,Philadelphia Phillies,11,1,0,2,21
2023-08-23,Angel Stadium,Los Angeles Angels,Cincinnati Reds,6,2,1,1,17
2023-08-23,Angel Stadium,Cincinnati Reds,Los Angeles Angels,7,0,1,1,14
2023-08-23,Angel Stadium,Los Angeles Angels,Cincinnati Reds,4,2,0,0,8
2023-08-23,Angel Stadium,Cincinnati Reds,Los Angeles Angels,9,0,1,2,20
2023-08-23,Petco Park,San Diego Padres,Miami Marlins,5,1,0,1,11
2023-08-23,Petco Park,Miami Marlins,San Diego Padres,3,1,0,0,5
2023-08-23,Tropicana Field,Tampa Bay Rays,Colorado Rockies,8,1,0,2,18
2023-08-23,Tropicana Field,Colorado Rockies,Tampa Bay Rays,6,1,0,1,12
2023-08-23,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,6,2,0,2,18
2023-08-23,Oriole Park at Camden Yards,Toronto Blue Jays,Baltimore Orioles,5,0,0,0,5
2023-08-23,Yankee Stadium,New York Yankees,Washington Nationals,3,1,0,4,21
2023-08-23,Yankee Stadium,Washington Nationals,New York Yankees,2,0,0,1,6
2023-08-23,Progressive Field,Cleveland Guardians,Los Angeles Dodgers,3,0,0,1,7
2023-08-23,Progressive Field,Los Angeles Dodgers,Cleveland Guardians,10,4,0,0,18
2023-08-23,Truist Park,Atlanta Braves,New York Mets,9,1,1,1,18
2023-08-23,Truist Park,New York Mets,Atlanta Braves,1,2,0,0,5
2023-08-23,Minute Maid Park,Houston Astros,Boston Red Sox,9,2,0,1,17
2023-08-23,Minute Maid Park,Boston Red Sox,Houston Astros,6,2,0,1,14
2023-08-23,Progressive Field,Cleveland Guardians,Los Angeles Dodgers,3,0,0,1,7
2023-08-23,Progressive Field,Los Angeles Dodgers,Cleveland Guardians,10,4,0,0,18
2023-08-24,Yankee Stadium,New York Yankees,Washington Nationals,6,3,0,3,24
2023-08-24,Yankee Stadium,Washington Nationals,New York Yankees,6,1,0,2,16
2023-08-24,Tropicana Field,Tampa Bay Rays,Colorado Rockies,4,0,1,3,19
2023-08-24,Tropicana Field,Colorado Rockies,Tampa Bay Rays,5,2,0,1,13
2023-08-24,Minute Maid Park,Houston Astros,Boston Red Sox,7,3,0,0,13
2023-08-24,Minute Maid Park,Boston Red Sox,Houston Astros,16,6,0,3,40
2023-08-24,Progressive Field,Cleveland Guardians,Los Angeles Dodgers,8,1,0,1,14
2023-08-24,Progressive Field,Los Angeles Dodgers,Cleveland Guardians,8,4,1,2,27
2023-08-24,PNC Park,Pittsburgh Pirates,Chicago Cubs,4,1,0,1,10
2023-08-24,PNC Park,Chicago Cubs,Pittsburgh Pirates,7,3,0,0,13
2023-08-24,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,7,1,0,2,17
2023-08-24,Oriole Park at Camden Yards,Toronto Blue Jays,Baltimore Orioles,3,2,0,1,11
2023-08-24,Target Field,Minnesota Twins,Texas Rangers,3,3,0,5,29
2023-08-24,Target Field,Texas Rangers,Minnesota Twins,7,0,0,3,19
2023-08-24,Guaranteed Rate Field,Chicago White Sox,Oakland Athletics,7,1,0,3,21
2023-08-24,Guaranteed Rate Field,Oakland Athletics,Chicago White Sox,3,1,0,5,25
2023-08-24,Chase Field,Arizona Diamondbacks,Cincinnati Reds,9,0,0,1,13
2023-08-24,Chase Field,Cincinnati Reds,Arizona Diamondbacks,1,1,0,1,7
2023-08-25,Comerica Park,Detroit Tigers,Houston Astros,4,0,0,1,8
2023-08-25,Comerica Park,Houston Astros,Detroit Tigers,1,0,0,0,1
2023-08-25,loanDepot park,Miami Marlins,Washington Nationals,6,2,1,0,13
2023-08-25,loanDepot park,Washington Nationals,Miami Marlins,8,4,0,1,20
2023-08-25,Tropicana Field,Tampa Bay Rays,New York Yankees,3,0,0,1,7
2023-08-25,Tropicana Field,New York Yankees,Tampa Bay Rays,6,3,0,2,20
2023-08-25,Oriole Park at Camden Yards,Baltimore Orioles,Colorado Rockies,6,1,0,3,20
2023-08-25,Oriole Park at Camden Yards,Colorado Rockies,Baltimore Orioles,5,1,0,1,11
2023-08-25,PNC Park,Pittsburgh Pirates,Chicago Cubs,5,2,0,0,9
2023-08-25,PNC Park,Chicago Cubs,Pittsburgh Pirates,3,1,0,1,9
2023-08-25,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,2,6,1,2,25
2023-08-25,Citizens Bank Park,St. Louis Cardinals,Philadelphia Phillies,2,2,0,1,10
2023-08-25,Rogers Centre,Toronto Blue Jays,Cleveland Guardians,2,2,0,2,14
2023-08-25,Rogers Centre,Cleveland Guardians,Toronto Blue Jays,2,3,0,3,20
2023-08-25,Fenway Park,Boston Red Sox,Los Angeles Dodgers,11,1,0,2,21
2023-08-25,Fenway Park,Los Angeles Dodgers,Boston Red Sox,6,4,0,0,14
2023-08-25,Citi Field,New York Mets,Los Angeles Angels,1,2,0,1,9
2023-08-25,Citi Field,Los Angeles Angels,New York Mets,5,1,0,0,7
2023-08-25,Guaranteed Rate Field,Chicago White Sox,Oakland Athletics,2,2,0,2,14
2023-08-25,Guaranteed Rate Field,Oakland Athletics,Chicago White Sox,11,2,0,2,23
2023-08-25,Target Field,Minnesota Twins,Texas Rangers,6,2,1,3,25
2023-08-25,Target Field,Texas Rangers,Minnesota Twins,4,3,0,1,14
2023-08-25,American Family Field,Milwaukee Brewers,San Diego Padres,9,0,0,1,13
2023-08-25,American Family Field,San Diego Padres,Milwaukee Brewers,4,1,0,2,14
2023-08-25,Chase Field,Arizona Diamondbacks,Cincinnati Reds,6,1,3,0,17
2023-08-25,Chase Field,Cincinnati Reds,Arizona Diamondbacks,4,1,0,3,18
2023-08-25,T-Mobile Park,Seattle Mariners,Kansas City Royals,12,3,0,1,22
2023-08-25,T-Mobile Park,Kansas City Royals,Seattle Mariners,6,2,1,1,17
2023-08-25,Oracle Park,San Francisco Giants,Atlanta Braves,4,1,1,0,9
2023-08-25,Oracle Park,Atlanta Braves,San Francisco Giants,4,1,1,1,13
2023-08-26,Rogers Centre,Toronto Blue Jays,Cleveland Guardians,6,4,0,1,18
2023-08-26,Rogers Centre,Cleveland Guardians,Toronto Blue Jays,2,1,0,2,12
2023-08-26,Oracle Park,San Francisco Giants,Atlanta Braves,5,2,0,1,13
2023-08-26,Oracle Park,Atlanta Braves,San Francisco Giants,5,2,0,2,17
2023-08-26,Fenway Park,Boston Red Sox,Los Angeles Dodgers,4,3,0,3,22
2023-08-26,Fenway Park,Los Angeles Dodgers,Boston Red Sox,7,2,0,1,15
2023-08-26,T-Mobile Park,Seattle Mariners,Kansas City Royals,5,1,0,7,35
2023-08-26,T-Mobile Park,Kansas City Royals,Seattle Mariners,1,3,0,1,11
2023-08-26,loanDepot park,Miami Marlins,Washington Nationals,4,1,0,2,14
2023-08-26,loanDepot park,Washington Nationals,Miami Marlins,3,1,1,0,8
2023-08-26,Tropicana Field,Tampa Bay Rays,New York Yankees,4,3,0,0,10
2023-08-26,Tropicana Field,New York Yankees,Tampa Bay Rays,2,0,0,0,2
2023-08-26,Comerica Park,Detroit Tigers,Houston Astros,6,2,0,0,10
2023-08-26,Comerica Park,Houston Astros,Detroit Tigers,9,4,0,1,21
2023-08-26,Oriole Park at Camden Yards,Baltimore Orioles,Colorado Rockies,4,2,0,0,8
2023-08-26,Oriole Park at Camden Yards,Colorado Rockies,Baltimore Orioles,5,3,0,0,11
2023-08-26,Citi Field,New York Mets,Los Angeles Angels,5,1,0,1,11
2023-08-26,Citi Field,Los Angeles Angels,New York Mets,2,5,1,1,19
2023-08-26,Guaranteed Rate Field,Chicago White Sox,Oakland Athletics,3,3,0,3,21
2023-08-26,Guaranteed Rate Field,Oakland Athletics,Chicago White Sox,4,0,0,0,4
2023-08-26,American Family Field,Milwaukee Brewers,San Diego Padres,4,2,0,0,8
2023-08-26,American Family Field,San Diego Padres,Milwaukee Brewers,3,0,0,2,11
2023-08-26,PNC Park,Pittsburgh Pirates,Chicago Cubs,5,1,0,1,11
2023-08-26,PNC Park,Chicago Cubs,Pittsburgh Pirates,6,3,1,0,15
2023-08-26,Target Field,Minnesota Twins,Texas Rangers,2,2,0,1,10
2023-08-26,Target Field,Texas Rangers,Minnesota Twins,6,1,0,2,16
2023-08-26,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,5,4,0,3,25
2023-08-26,Citizens Bank Park,St. Louis Cardinals,Philadelphia Phillies,2,0,0,1,6
2023-08-26,Chase Field,Arizona Diamondbacks,Cincinnati Reds,4,1,2,1,16
2023-08-26,Chase Field,Cincinnati Reds,Arizona Diamondbacks,7,4,1,1,22
2023-08-27,Citi Field,New York Mets,Los Angeles Angels,8,1,0,0,10
2023-08-27,Citi Field,Los Angeles Angels,New York Mets,3,0,0,1,7
2023-08-27,Oriole Park at Camden Yards,Baltimore Orioles,Colorado Rockies,3,0,0,2,11
2023-08-27,Oriole Park at Camden Yards,Colorado Rockies,Baltimore Orioles,6,2,0,1,14
2023-08-27,Fenway Park,Boston Red Sox,Los Angeles Dodgers,2,2,0,3,18
2023-08-27,Fenway Park,Los Angeles Dodgers,Boston Red Sox,6,6,0,2,26
2023-08-27,PNC Park,Pittsburgh Pirates,Chicago Cubs,3,1,0,0,5
2023-08-27,PNC Park,Chicago Cubs,Pittsburgh Pirates,6,5,0,1,20
2023-08-27,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,8,2,0,1,16
2023-08-27,Citizens Bank Park,St. Louis Cardinals,Philadelphia Phillies,0,2,0,0,4
2023-08-27,Rogers Centre,Toronto Blue Jays,Cleveland Guardians,3,2,0,3,19
2023-08-27,Rogers Centre,Cleveland Guardians,Toronto Blue Jays,7,4,0,2,23
2023-08-27,Comerica Park,Detroit Tigers,Houston Astros,3,0,0,2,11
2023-08-27,Comerica Park,Houston Astros,Detroit Tigers,16,4,1,4,43
2023-08-27,loanDepot park,Miami Marlins,Washington Nationals,3,2,0,1,11
2023-08-27,loanDepot park,Washington Nationals,Miami Marlins,6,1,0,0,8
2023-08-27,Tropicana Field,Tampa Bay Rays,New York Yankees,8,1,0,1,14
2023-08-27,Tropicana Field,New York Yankees,Tampa Bay Rays,1,0,0,3,13
2023-08-27,Target Field,Minnesota Twins,Texas Rangers,7,0,0,1,11
2023-08-27,Target Field,Texas Rangers,Minnesota Twins,7,1,0,2,17
2023-08-27,Guaranteed Rate Field,Chicago White Sox,Oakland Athletics,9,4,0,0,17
2023-08-27,Guaranteed Rate Field,Oakland Athletics,Chicago White Sox,2,0,0,0,2
2023-08-27,American Family Field,Milwaukee Brewers,San Diego Padres,5,4,0,1,17
2023-08-27,American Family Field,San Diego Padres,Milwaukee Brewers,6,1,0,2,16
2023-08-27,Chase Field,Arizona Diamondbacks,Cincinnati Reds,5,1,1,1,14
2023-08-27,Chase Field,Cincinnati Reds,Arizona Diamondbacks,4,0,0,0,4
2023-08-27,T-Mobile Park,Seattle Mariners,Kansas City Royals,3,1,0,2,13
2023-08-27,T-Mobile Park,Kansas City Royals,Seattle Mariners,4,0,0,1,8
2023-08-27,Oracle Park,San Francisco Giants,Atlanta Braves,5,2,0,1,13
2023-08-27,Oracle Park,Atlanta Braves,San Francisco Giants,3,2,0,1,11
2023-08-28,Citizens Bank Park,Philadelphia Phillies,Los Angeles Angels,3,1,0,3,17
2023-08-28,Citizens Bank Park,Los Angeles Angels,Philadelphia Phillies,9,1,1,0,14
2023-08-28,Comerica Park,Detroit Tigers,New York Yankees,4,0,2,1,14
2023-08-28,Comerica Park,New York Yankees,Detroit Tigers,4,1,0,2,14
2023-08-28,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,9,1,0,1,15
2023-08-28,Oriole Park at Camden Yards,Chicago White Sox,Baltimore Orioles,1,1,0,0,3
2023-08-28,Rogers Centre,Toronto Blue Jays,Washington Nationals,7,1,0,1,13
2023-08-28,Rogers Centre,Washington Nationals,Toronto Blue Jays,6,1,0,0,8
2023-08-28,Fenway Park,Boston Red Sox,Houston Astros,7,2,0,1,15
2023-08-28,Fenway Park,Houston Astros,Boston Red Sox,12,2,1,3,31
2023-08-28,Citi Field,New York Mets,Texas Rangers,2,0,0,2,10
2023-08-28,Citi Field,Texas Rangers,New York Mets,6,4,0,0,14
2023-08-28,Target Field,Minnesota Twins,Cleveland Guardians,7,2,0,3,23
2023-08-28,Target Field,Cleveland Guardians,Minnesota Twins,2,4,0,1,14
2023-08-28,Busch Stadium,St. Louis Cardinals,San Diego Padres,3,0,0,1,7
2023-08-28,Busch Stadium,San Diego Padres,St. Louis Cardinals,11,1,0,0,13
2023-08-28,Wrigley Field,Chicago Cubs,Milwaukee Brewers,3,0,0,2,11
2023-08-28,Wrigley Field,Milwaukee Brewers,Chicago Cubs,6,2,0,2,18
2023-08-28,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,2,0,0,0,2
2023-08-28,Kauffman Stadium,Pittsburgh Pirates,Kansas City Royals,8,4,0,0,16
2023-08-28,Coors Field,Colorado Rockies,Atlanta Braves,7,1,0,1,13
2023-08-28,Coors Field,Atlanta Braves,Colorado Rockies,10,5,1,2,31
2023-08-28,T-Mobile Park,Seattle Mariners,Oakland Athletics,8,4,0,2,24
2023-08-28,T-Mobile Park,Oakland Athletics,Seattle Mariners,3,1,0,0,5
2023-08-28,Oracle Park,San Francisco Giants,Cincinnati Reds,5,3,0,0,11
2023-08-28,Oracle Park,Cincinnati Reds,San Francisco Giants,4,2,0,0,8
2023-08-28,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,7,0,0,4,23
2023-08-28,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,4,3,0,1,14
2023-08-29,Citizens Bank Park,Philadelphia Phillies,Los Angeles Angels,4,3,1,5,33
2023-08-29,Citizens Bank Park,Los Angeles Angels,Philadelphia Phillies,5,3,0,3,23
2023-08-29,loanDepot park,Miami Marlins,Tampa Bay Rays,7,2,0,1,15
2023-08-29,loanDepot park,Tampa Bay Rays,Miami Marlins,9,3,0,3,27
2023-08-29,Comerica Park,Detroit Tigers,New York Yankees,6,1,0,0,8
2023-08-29,Comerica Park,New York Yankees,Detroit Tigers,3,0,0,3,15
2023-08-29,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,12,2,0,0,16
2023-08-29,Oriole Park at Camden Yards,Chicago White Sox,Baltimore Orioles,9,0,0,1,13
2023-08-29,Rogers Centre,Toronto Blue Jays,Washington Nationals,6,4,0,1,18
2023-08-29,Rogers Centre,Washington Nationals,Toronto Blue Jays,6,0,0,2,14
2023-08-29,Fenway Park,Boston Red Sox,Houston Astros,5,0,0,1,9
2023-08-29,Fenway Park,Houston Astros,Boston Red Sox,4,3,0,2,18
2023-08-29,Citi Field,New York Mets,Texas Rangers,6,0,0,1,10
2023-08-29,Citi Field,Texas Rangers,New York Mets,4,1,0,1,10
2023-08-29,Target Field,Minnesota Twins,Cleveland Guardians,4,1,0,2,14
2023-08-29,Target Field,Cleveland Guardians,Minnesota Twins,7,3,0,1,17
2023-08-29,Busch Stadium,St. Louis Cardinals,San Diego Padres,6,1,0,2,16
2023-08-29,Busch Stadium,San Diego Padres,St. Louis Cardinals,9,2,0,1,17
2023-08-29,Wrigley Field,Chicago Cubs,Milwaukee Brewers,7,1,0,0,9
2023-08-29,Wrigley Field,Milwaukee Brewers,Chicago Cubs,7,0,0,0,7
2023-08-29,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,4,2,0,0,8
2023-08-29,Kauffman Stadium,Pittsburgh Pirates,Kansas City Royals,4,1,2,2,20
2023-08-29,Coors Field,Colorado Rockies,Atlanta Braves,2,0,1,0,5
2023-08-29,Coors Field,Atlanta Braves,Colorado Rockies,11,2,1,1,22
2023-08-29,T-Mobile Park,Seattle Mariners,Oakland Athletics,3,1,0,0,5
2023-08-29,T-Mobile Park,Oakland Athletics,Seattle Mariners,6,1,0,2,16
2023-08-29,Oracle Park,San Francisco Giants,Cincinnati Reds,3,3,0,1,13
2023-08-29,Oracle Park,Cincinnati Reds,San Francisco Giants,0,1,0,0,2
2023-08-29,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,9,5,0,2,27
2023-08-29,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,5,0,0,1,9
2023-08-30,Citizens Bank Park,Philadelphia Phillies,Los Angeles Angels,8,1,0,2,18
2023-08-30,Citizens Bank Park,Los Angeles Angels,Philadelphia Phillies,7,3,0,2,21
2023-08-30,Oriole Park at Camden Yards,Baltimore Orioles,Chicago White Sox,6,2,0,1,14
2023-08-30,Oriole Park at Camden Yards,Chicago White Sox,Baltimore Orioles,8,3,1,3,29
2023-08-30,Target Field,Minnesota Twins,Cleveland Guardians,3,1,0,0,5
2023-08-30,Target Field,Cleveland Guardians,Minnesota Twins,4,2,0,1,12
2023-08-30,Busch Stadium,St. Louis Cardinals,San Diego Padres,5,3,0,2,19
2023-08-30,Busch Stadium,San Diego Padres,St. Louis Cardinals,10,1,0,0,12
2023-08-30,Wrigley Field,Chicago Cubs,Milwaukee Brewers,2,1,0,0,4
2023-08-30,Wrigley Field,Milwaukee Brewers,Chicago Cubs,5,0,0,0,5
2023-08-30,Rogers Centre,Toronto Blue Jays,Washington Nationals,8,4,0,0,16
2023-08-30,Rogers Centre,Washington Nationals,Toronto Blue Jays,4,1,0,0,6
2023-08-30,Oracle Park,San Francisco Giants,Cincinnati Reds,2,2,0,0,6
2023-08-30,Oracle Park,Cincinnati Reds,San Francisco Giants,8,2,0,1,16
2023-08-30,Fenway Park,Boston Red Sox,Houston Astros,4,3,0,0,10
2023-08-30,Fenway Park,Houston Astros,Boston Red Sox,8,3,1,0,17
2023-08-30,T-Mobile Park,Seattle Mariners,Oakland Athletics,3,2,0,1,11
2023-08-30,T-Mobile Park,Oakland Athletics,Seattle Mariners,5,3,0,1,15
2023-08-30,Citi Field,New York Mets,Texas Rangers,6,2,0,3,22
2023-08-30,Citi Field,Texas Rangers,New York Mets,6,0,0,1,10
2023-08-30,loanDepot park,Miami Marlins,Tampa Bay Rays,2,2,0,0,6
2023-08-30,loanDepot park,Tampa Bay Rays,Miami Marlins,4,1,0,0,6
2023-08-30,Comerica Park,Detroit Tigers,New York Yankees,2,0,0,2,10
2023-08-30,Comerica Park,New York Yankees,Detroit Tigers,3,2,0,3,19
2023-08-30,Kauffman Stadium,Kansas City Royals,Pittsburgh Pirates,2,0,1,1,9
2023-08-30,Kauffman Stadium,Pittsburgh Pirates,Kansas City Royals,2,2,0,2,14
2023-08-30,Coors Field,Colorado Rockies,Atlanta Braves,2,2,0,1,10
2023-08-30,Coors Field,Atlanta Braves,Colorado Rockies,9,0,0,3,21
2023-08-30,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,7,2,0,2,19
2023-08-30,Dodger Stadium,Arizona Diamondbacks,Los Angeles Dodgers,4,2,0,0,8
2023-08-31,Comerica Park,Detroit Tigers,New York Yankees,5,2,0,1,13
2023-08-31,Comerica Park,New York Yankees,Detroit Tigers,3,1,0,1,9
2023-08-31,Nationals Park,Washington Nationals,Miami Marlins,2,1,0,0,4
2023-08-31,Nationals Park,Miami Marlins,Washington Nationals,9,2,0,2,21
2023-08-31,Petco Park,San Diego Padres,San Francisco Giants,5,2,0,0,9
2023-08-31,Petco Park,San Francisco Giants,San Diego Padres,7,1,1,1,16
2023-08-31,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,5,0,0,4,21
2023-08-31,Dodger Stadium,Atlanta Braves,Los Angeles Dodgers,6,0,0,3,18
2023-09-01,Great American Ball Park,Cincinnati Reds,Chicago Cubs,7,0,0,0,7
2023-09-01,Great American Ball Park,Chicago Cubs,Cincinnati Reds,6,1,0,3,20
2023-09-01,Great American Ball Park,Cincinnati Reds,Chicago Cubs,4,3,0,1,14
2023-09-01,Great American Ball Park,Chicago Cubs,Cincinnati Reds,3,1,0,1,9
2023-09-01,Nationals Park,Washington Nationals,Miami Marlins,5,0,0,3,17
2023-09-01,Nationals Park,Miami Marlins,Washington Nationals,7,1,0,1,13
2023-09-01,Citi Field,New York Mets,Seattle Mariners,6,2,0,1,14
2023-09-01,Citi Field,Seattle Mariners,New York Mets,4,2,0,1,12
2023-09-01,Progressive Field,Cleveland Guardians,Tampa Bay Rays,6,2,0,0,10
2023-09-01,Progressive Field,Tampa Bay Rays,Cleveland Guardians,3,2,0,0,7
2023-09-01,Globe Life Field,Texas Rangers,Minnesota Twins,1,1,0,1,7
2023-09-01,Globe Life Field,Minnesota Twins,Texas Rangers,3,1,0,3,17
2023-09-01,Kauffman Stadium,Kansas City Royals,Boston Red Sox,10,3,0,4,32
2023-09-01,Kauffman Stadium,Boston Red Sox,Kansas City Royals,4,0,0,1,8
2023-09-01,Guaranteed Rate Field,Chicago White Sox,Detroit Tigers,7,2,0,0,11
2023-09-01,Guaranteed Rate Field,Detroit Tigers,Chicago White Sox,11,0,0,0,11
2023-09-01,Minute Maid Park,Houston Astros,New York Yankees,1,2,0,1,9
2023-09-01,Minute Maid Park,New York Yankees,Houston Astros,3,1,0,4,21
2023-09-01,American Family Field,Milwaukee Brewers,Philadelphia Phillies,6,0,0,1,10
2023-09-01,American Family Field,Philadelphia Phillies,Milwaukee Brewers,3,0,0,2,11
2023-09-01,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,4,1,0,1,10
2023-09-01,Busch Stadium,Pittsburgh Pirates,St. Louis Cardinals,6,1,0,0,8
2023-09-01,Coors Field,Colorado Rockies,Toronto Blue Jays,4,4,1,2,23
2023-09-01,Coors Field,Toronto Blue Jays,Colorado Rockies,8,5,1,3,33
2023-09-01,Chase Field,Arizona Diamondbacks,Baltimore Orioles,5,3,0,2,19
2023-09-01,Chase Field,Baltimore Orioles,Arizona Diamondbacks,5,3,0,0,11
2023-09-01,Oakland Coliseum,Oakland Athletics,Los Angeles Angels,5,8,0,1,25
2023-09-01,Oakland Coliseum,Los Angeles Angels,Oakland Athletics,4,2,0,1,12
2023-09-01,Petco Park,San Diego Padres,San Francisco Giants,8,3,0,2,22
2023-09-01,Petco Park,San Francisco Giants,San Diego Padres,5,3,0,1,15
2023-09-01,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,5,0,0,1,9
2023-09-01,Dodger Stadium,Atlanta Braves,Los Angeles Dodgers,7,4,0,3,27
2023-09-02,Nationals Park,Washington Nationals,Miami Marlins,6,2,0,2,18
2023-09-02,Nationals Park,Miami Marlins,Washington Nationals,13,1,0,4,31
